EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn,HourlyRate _orig
1.0,28.0,6.0,Yes,24.37,40.0,Salary,50689.6,89.0,Research,Female,Married,3.0,7.0,Mailed Check,Yes,$24.37 
2.0,33.0,2.0,Yes,24.37,40.0,Salary,50689.6,89.0,Research,Female,Married,6.0,7.0,Mailed Check,Yes,$24.37 
3.0,22.0,1.0,No,22.52,40.0,Salary,46841.6,35.0,Information_Technology,Female,Single,1.0,8.0,Mailed Check,Yes,$22.52 
4.0,23.0,1.0,No,22.52,40.0,Salary,46841.6,35.0,Information_Technology,Female,Single,3.0,15.0,Mailed Check,Yes,$22.52 
5.0,40.0,6.0,No,88.77,40.0,Salary,284641.6,12.0,Sales,Prefer Not To Answer,Single,7.0,15.0,Mailed Check,Yes,$88.77 
6.0,45.0,16.0,Yes,88.77,40.0,Salary,284641.6,12.0,Sales,Prefer Not To Answer,Single,4.0,19.0,Mailed Check,Yes,$88.77 
7.0,34.0,6.0,No,28.43,40.0,Salary,59134.4,0.0,Human_Resources,Male,Single,2.0,23.0,Mailed Check,Yes,$28.43 
8.0,37.0,9.0,Yes,28.43,40.0,Salary,59134.4,0.0,Human_Resources,Male,Single,1.0,25.0,Mailed Check,Yes,$28.43 
9.0,23.0,1.0,No,21.87,40.0,Salary,45489.6,76.0,Human_Resources,Female,Single,1.0,15.0,Mailed Check,Yes,$21.87 
10.0,24.0,1.0,Yes,21.87,40.0,Salary,45489.6,76.0,Human_Resources,Female,Single,2.0,9.0,Mailed Check,Yes,$21.87 
11.0,30.0,3.0,Yes,29.54,40.0,Salary,61443.2,15.0,Laboratory,Female,Divorced,3.0,6.0,Mailed Check,Yes,$29.54 
12.0,34.0,8.0,Yes,29.54,40.0,Salary,61443.2,15.0,Laboratory,Female,Divorced,1.0,6.0,Mailed Check,Yes,$29.54 
